IPStart,IPEnd,Country,Publish_Date,Comment,Latitude,Longitude
0.0.0.0,0.255.255.255,US,01/02/09,happy,38.55042047,-121.4621009
1.0.0.0,1.0.0.255,AU,02/03/09,sad,38.47350069,-121.4269508
1.0.1.0,1.0.3.255,CN,02/03/09,Hurrey,38.65784584,38.52697863
1.0.4.0,1.0.7.255,AU,05/03/08,unhappy,38.50677377,38.52697863
1.0.8.0,1.0.15.255,CN,06/03/09,nice,-121.3846125,-121.4875774
1.0.16.0,1.0.31.255,JP,07/03/09,good,-121.3846125,38.56433456
1.0.32.0,1.0.63.255,CN,08/03/09,i,38.537173,-121.3846125
1.0.64.0,1.0.127.255,JP,09/04/09,kindness,-121.3846125,38.52697863
1.0.128.0,1.0.255.255,TH,10/04/09,accused,38.6374478,38.55426406
1.1.0.0,1.1.0.255,CN,11/04/09,absolutely,-121.3846125,38.52816497
1.1.1.0,1.1.1.255,AU,12/04/09,i,-121.3846125,38.51092155
1.1.2.0,1.1.63.255,CN,13/04/09,does,-121.3846125,38.52697863
1.1.64.0,1.1.127.255,JP,14/04/09,It,-121.3846125,-121.3923987
1.1.128.0,1.1.255.255,TH,15/04/09,"is my favorite
",38.5245998738.52459987,
1.2.0.0,1.2.2.255,CN,16/04/09,just,38.50398051,38.52697863
1.2.3.0,1.2.3.255,AU,17/04/09,better,-121.4495097,38.52697863
1.2.4.0,1.2.127.255,CN,18/04/09,how,38.52459987,38.54270763
1.2.128.0,1.2.255.255,TH,19/04/09,"continues to me disappoint
",38.5245998738.52459987,-121.5203609
1.3.0.0,1.3.255.255,CN,20/04/09,"car stereos
",38.52459987,-121.4423777
1.4.0.0,1.4.0.255,AU,21/04/09,needs,38.52459987,-121.423349
1.4.1.0,1.4.127.255,CN,22/04/09,i,38.44659211,38.52697863
1.4.128.0,1.4.255.255,TH,23/04/09,i,38.59664183,-121.4560449
1.5.0.0,1.5.255.255,JP,24/04/09,Ved,-121.5291027,38.52697863
1.6.0.0,1.7.255.255,IN,25/04/09,Ved,38.65660112,38.52697863
1.8.0.0,1.8.255.255,CN,26/04/09,got,-121.4095243,38.47121906
1.9.0.0,1.9.255.255,MY,27/04/09,is,-121.4332827,38.5564521
1.10.0.0,1.10.9.255,CN,28/04/09,made,38.5245998738.52459987,
1.10.10.0,1.10.10.255,AU,29/04/09,family,38.5245998738.52459987,
1.10.11.0,1.10.127.255,CN,30/04/09,ultimate,-121.4965602,-121.5354477
1.10.128.0,1.10.255.255,TH,01/05/09,look,-121.4375169,-121.444642
1.11.0.0,1.11.255.255,KR,02/05/09,beautiful,38.47889498,38.52697863
